"CAPKO_1" "CAPKO_2" "CAPKO_3" "CAPKO_4" "CAPKO_5" "WT_1" "WT_2" "WT_3" "WT_4" "WT_5"
"ELO-C" 15 16 5 14 3 21 64 87 57 25
"PBANKA_0000301" 4 0 0 0 0 0 71 3 16 5
"PBANKA_0000600" 5 0 0 1 0 6 97 10 19 7
"PBANKA_0000901" 357 145 1 88 0 5 0 43 80 467
"PBANKA_0001001" 24 7 34 45 11 2185 1547 1855 2971 2447
"PBANKA_0001101" 2 0 0 3 0 18 84 171 258 40
"PBANKA_0001201" 0 0 0 3 0 2 1 14 4 11
"PBANKA_0001301" 0 0 0 0 0 12 0 1 5 1
"PBANKA_0001401" 0 0 0 0 0 1 0 4 10 8
"PBANKA_0001501" 0 0 0 1 0 0 0 11 0 0
"PBANKA_0001601" 0 1 0 0 0 0 7 1 5 1
"PBANKA_0006300" 0 0 0 0 0 0 13 2 12 4
"PBANKA_0008101" 3 0 0 2 0 23 47 54 75 35
"PBANKA_0008201" 0 0 0 0 1 4 12 13 23 17
"PBANKA_0100021" 29 13 15 29 1 42 65 112 109 42
"PBANKA_0100041" 2 0 1 1 0 6 13 3 4 0
"PBANKA_0100061" 70 18 45 89 10 186 179 295 280 84
"PBANKA_0100100" 52 16 22 56 13 227 211 170 219 193
"PBANKA_0100200" 703 269 379 802 73 2198 1786 2340 2632 1810
"PBANKA_0100400" 24 19 16 45 1 67 103 277 344 189
"PBANKA_0100500" 1340 614 493 1178 168 3713 3473 4247 4912 3966
"PBANKA_0100600" 631 269 236 422 155 1545 1479 2226 2751 3530
"PBANKA_0100700" 14610 6692 5443 9767 3511 21298 18639 22914 33852 33167
"PBANKA_0100800" 621 230 112 501 63 676 693 423 260 109
"PBANKA_0100900" 1662 486 351 1276 192 3061 3532 2472 1705 840
"PBANKA_0101000" 773 365 341 718 175 2099 1970 2326 2275 2536
"PBANKA_0101100" 43 17 25 31 8 111 122 184 60 182
"PBANKA_0101200" 706 223 280 596 152 1412 1357 1374 1104 1045
"PBANKA_0101300" 391 145 170 355 50 842 743 915 826 764
"PBANKA_0101400" 1248 451 355 1139 102 4183 4653 4225 2047 1503
"PBANKA_0101500" 259 99 57 213 24 107 123 137 109 122
"PBANKA_0101600" 72 16 16 108 0 143 174 191 111 48
"PBANKA_0101700" 620 207 177 455 80 1572 1691 1916 1291 980
